Local Authority June 2022 Crime rates per 1000,Total,Violent,Theft,Unemployed Claimants,Employed Claimants,Total Claimants,Ratio,Ratio percentage,Region
South Holland,61.34,27.67,16.31,3806,3558,7366,0.483030138,48.30,East Midlands
South Kesteven,60.37,23.41,18.83,5444,4561,10004,0.455917633,45.59,East Midlands
West Lindsey,64.64,24.40,18.67,4035,2704,6739,0.401246476,40.12,East Midlands
Babergh,48.92,21.10,11.33,2954,2358,5314,0.443733534,44.37,East of England
Basildon,108.15,47.15,26.18,10489,6691,17176,0.389555193,38.96,East of England
Bedford,87.83,32.43,28.64,9045,6914,15960,0.43320802,43.32,East of England
Braintree,76.93,33.73,19.71,6099,4804,10902,0.440653091,44.07,East of England
Breckland,63.24,29.68,10.87,4909,4419,9329,0.473684211,47.37,East of England
Brentwood,72.82,25.94,25.65,2483,1580,4068,0.388397247,38.84,East of England
Broadland,45.67,22.09,7.41,3261,2774,6035,0.45965203,45.97,East of England
Broxbourne,62.46,23.32,23.04,4590,3485,8077,0.431472081,43.15,East of England
Cambridge,114.49,35.69,43.62,4031,3429,7458,0.459774739,45.98,East of England
Castle Point,66.77,30.70,14.27,3017,2235,5251,0.425633213,42.56,East of England
Central Bedfordshire,54.09,18.55,19.59,8802,7266,16067,0.452231282,45.22,East of England
Chelmsford,88.10,36.29,26.58,5553,3989,9547,0.41782759,41.78,East of England
Colchester,95.93,43.79,21.37,7344,5882,13225,0.444763705,44.48,East of England
Dacorum,59.85,21.28,22.58,5421,4131,9554,0.432384342,43.24,East of England
East Cambridgeshire,45.08,17.16,13.20,2306,2098,4403,0.4764933,47.65,East of England
East Hertfordshire,48.38,18.25,15.71,3869,3335,7205,0.462873005,46.29,East of England
Epping Forest,79.29,30.47,25.34,4836,3183,8023,0.396734389,39.67,East of England
Fenland,79.75,31.42,21.42,5081,3906,8985,0.434724541,43.47,East of England
Great Yarmouth,117.32,55.26,20.90,7491,5675,13169,0.43093629,43.09,East of England
Harlow,131.87,57.15,34.73,5893,4313,10202,0.422760243,42.28,East of England
Hertsmere,69.86,22.53,29.70,4248,3019,7270,0.415268226,41.53,East of England
Huntingdonshire,58.75,22.65,16.28,5161,4644,9803,0.473732531,47.37,East of England
Ipswich,106.84,45.48,26.41,7957,6595,14552,0.453202309,45.32,East of England
King's Lynn and West Norfolk,68.68,30.57,14.11,5813,4736,10543,0.449208005,44.92,East of England
Luton,93.46,35.36,28.65,14999,9811,24810,0.395445385,39.54,East of England
Maldon,57.77,28.82,11.65,2057,1420,3481,0.407928756,40.79,East of England
Mid Suffolk,37.92,17.60,7.73,2856,2388,5243,0.455464429,45.55,East of England
North Hertfordshire,46.44,18.45,13.93,4053,3408,7460,0.456836461,45.68,East of England
North Norfolk,52.71,25.68,7.89,3539,2712,6253,0.433711818,43.37,East of England
Norwich,134.13,56.58,31.02,8077,6027,14105,0.427295285,42.73,East of England
Peterborough,113.93,44.61,32.56,13430,12389,25818,0.479859013,47.99,East of England
Rochford,52.84,25.46,11.69,2439,1726,4170,0.413908873,41.39,East of England
South Cambridgeshire,44.96,16.31,14.42,3697,3323,7020,0.473361823,47.34,East of England
South Norfolk,48.66,22.06,8.84,3948,3256,7211,0.451532381,45.15,East of England
Southend-on-Sea,116.10,54.06,25.75,11377,7223,18601,0.388312456,38.83,East of England
St Albans,54.59,19.53,21.98,3906,2703,6609,0.408987744,40.90,East of England
